1,0.092,0.312,0.4
2,1.625,1.277,0.3985
3,3.424,2.326,0.397
4,4.817,2.478,0.3955
5,4.84,2.273,0.394
6,14.808,10.291,0.3925
7,9.99,7.351,0.391
8,10.314,7.186,0.3895
9,10.05,7.15,0.388
10,8.315,5.632,0.3865
11,9.65,6.892,0.385
12,8.673,5.573,0.3835
13,8.292,6.177,0.382
14,2.7,1.285,0.3805
15,2.737,1.298,0.379
16,3.233,2.144,0.3775
17,2.786,1.287,0.376
18,4.249,2.956,0.3745
19,7.371,5.646,0.373
20,6.032,4.444,0.3715
21,4.795,3.101,0.37
22,4.914,3.394,0.3685
23,5.993,3.697,0.367
24,6.997,4.9,0.3655
25,5.116,2.88,0.364
26,7.172,4.452,0.3625
27,4.849,3.516,0.361
28,4.758,3.351,0.3595
29,5.799,3.262,0.358
30,5.788,3.727,0.3565
31,6.898,4.151,0.355
32,6.762,4.205,0.3535
33,5.24,3.689,0.352
34,5.661,4.346,0.3505
35,5.665,3.79,0.349
36,5.477,4.04,0.3475
37,5.061,3.45,0.346
38,6.164,4.8,0.3445
39,4.598,3.191,0.34299999999999997
40,5.104,3.511,0.34149999999999997
41,6.755,4.592,0.33999999999999997
42,6.869,4.599,0.33849999999999997
43,6.806,4.58,0.33699999999999997
44,6.904,4.146,0.33549999999999996
45,6.527,4.523,0.33399999999999996
46,7.943,5.094,0.33249999999999996
47,7.453,5.303,0.33099999999999996
48,6.854,4.584,0.32949999999999996
49,6.709,4.476,0.32799999999999996
50,6.318,4.558,0.32649999999999996
51,6.072,4.363,0.32499999999999996
52,6.38,4.877,0.32349999999999995
53,3.942,2.706,0.32199999999999995
